epoch,train_loss,val_loss,Acc,Kappa,mIoU,mIoU0,mIoU1,mIoU2,FWIoU,Precision,Precision0,Precision1,Precision2,Recall,Recall0,Recall1,Recall2,F1_score,F1_score0,F1_score1,F1_score2,F2_score,F2_score0,F2_score1,F2_score2
10,0.383765482,0.343027432,0.832677811,0.651642089,0.62367883,0.806698971,0.818552021,0.245785498,0.777475305,0.710125427,0.997042617,0.878483952,0.254849712,0.868429006,0.808633866,0.923067211,0.87358594,0.729273275,0.893008719,0.900223922,0.394587185,0.780745128,0.840395363,0.913792177,0.588047843
11,0.380328812,0.336189222,0.854700845,0.68631681,0.643709078,0.835869767,0.822485664,0.272771803,0.802021709,0.722748563,0.995238974,0.88828601,0.284720704,0.874421395,0.839225523,0.917378065,0.866660598,0.747274059,0.910598101,0.902597673,0.428626404,0.797660706,0.866388497,0.911408198,0.615185422
12,0.365015545,0.333258238,0.848573836,0.676757969,0.639389362,0.827459965,0.825378959,0.265329163,0.795682431,0.720756643,0.995946012,0.890709537,0.27561438,0.875113644,0.830256407,0.918388141,0.876696384,0.74310183,0.905584775,0.904337097,0.419383617,0.793995254,0.858832164,0.912715651,0.610437947
13,0.357347951,0.326533709,0.855695089,0.688498125,0.645078942,0.835923533,0.823909676,0.275403617,0.802463965,0.722286779,0.995682274,0.88349502,0.287683042,0.876370747,0.838964731,0.924336594,0.865810915,0.748651143,0.910630006,0.903454466,0.431868957,0.799897199,0.866233256,0.915868965,0.617589376
14,0.354787791,0.333753221,0.871412368,0.714435475,0.65893001,0.855372562,0.826411323,0.295006145,0.818898133,0.728843954,0.993461692,0.879142895,0.313927275,0.874299558,0.86021514,0.932331674,0.830351859,0.760870523,0.922049377,0.904956412,0.45560578,0.809967202,0.883926192,0.921185198,0.624790215
15,0.347480354,0.322442997,0.863529024,0.701922865,0.655622093,0.84541181,0.836175476,0.285278993,0.812469383,0.730369603,0.995003809,0.898122514,0.297982486,0.880934727,0.849015923,0.923798294,0.869989964,0.756976049,0.916231055,0.910779479,0.443917612,0.807290282,0.874682776,0.91854636,0.62864171
16,0.335390642,0.313141819,0.853393191,0.685782855,0.64582976,0.830188578,0.835976444,0.271324257,0.799997361,0.721495513,0.996233079,0.885044924,0.283208535,0.878887873,0.832802812,0.937804958,0.866055849,0.748238349,0.907216429,0.9106614,0.426837218,0.800445285,0.861053676,0.92675565,0.613526528
17,0.335704151,0.311760617,0.868930029,0.711169781,0.661010396,0.852031598,0.836005246,0.294994345,0.818050771,0.733509744,0.994604906,0.897124646,0.308799681,0.883010184,0.855987738,0.92464817,0.868394643,0.762125003,0.920104813,0.910678489,0.455591708,0.812308734,0.880531509,0.919009181,0.637385512
18,0.330405103,0.304837985,0.871037922,0.714891148,0.66332476,0.854525627,0.836448959,0.298999694,0.820263459,0.734866929,0.99452825,0.896853981,0.313218557,0.884075911,0.858562136,0.92547904,0.868186557,0.764284176,0.921557092,0.910941685,0.460353752,0.814444998,0.882697589,0.919608772,0.641028634
19,0.326800144,0.309205294,0.867901999,0.709589166,0.6611046,0.85065354,0.839353826,0.293306433,0.817498641,0.734387773,0.994775576,0.902264273,0.30612347,0.884285342,0.854470902,0.923301402,0.875083722,0.761846129,0.919300687,0.91266162,0.453576079,0.812078716,0.879273723,0.919015858,0.637946566
